질병명,권장식품,주의사항
각기병,"돼지고기, 가금류, 계란, 생선, 콩류, 잡곡류, 감자, 아스파라거스, 브로콜리, 땅콩, 해바라기씨, 우유, 건포도",장시간 가열 조리하면 비타민으로서의 기능을 잃게 되니 주의합니다.
간경화,"밥, 떡, 감자, 고구마 등 곡류 음식, 과일, 야채, 단백질 식품(살코기, 생선, 계란,두부, 콩 등)",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
간성혼수,"밥, 떡, 감자, 고구마 등의 곡류 음식, 과일, 야채",녹즙 등 고농축 음식이나 민간요법은 간기능을 약화시킬 수 있으므로 주의합니다.
간이식후,"이식 초기 : 신선한 육류(살코기), 생선, 두부, 콩, 우유, 두유, 영양보충음료 등 이식 후 안정기 : 적당량의 육류(살코기), 생선, 두부, 콩, 신선한 야채, 해조류 등",고칼륨혈증 발생 시 일시적으로 칼륨 함량 높은 음식의 제한이 필요할 수 있습니다.
갑상선기능저하증,"곡류 및 전분류 (쌀밥, 전곡, 잡곡밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤 등) 채소 및 과일류 (채소, 김치  미역, 다시마, 버섯, 토마토, 딸기, 주스 등 ) 고기, 생선, 달걀 및 콩류 (쇠고기, 돼지고기, 닭고기, 생선, 달걀, 두부, 콩 등) 우유 및 유제품 (우유, 요쿠르트, 치즈, 아이스크림)","요오드가 부족하거나 지나치게 많이 섭취하는 것은 갑상선 기능에 좋지 않은 영향을 줍니다. 성인의 1일 권장섭취량은 150㎍이며, 요오드는 해조류, 어패류, 요오드염 등에 많이 함유되어 있습니다."
갑상선기능항진증,"곡류 및 전분류 (쌀밥, 전곡, 잡곡밥, 국수, 떡, 식빵, 씨리얼, 감자, 고구마, 밤 등) 채소 및 과일류 (채소, 김치  미역, 다시마, 버섯, 토마토, 딸기, 주스 등 ) 고기, 생선, 달걀 및 콩류 (쇠고기, 돼지고기, 닭고기, 생선, 달걀, 두부, 콩 등) 우유 및 유제품 (우유, 요쿠르트, 치즈, 아이스크림)","혈당 조절이 안될 경우에는 단순당의 섭취를 제한하고 당뇨 식사 관리에 준하여 섭취합니다. 갑상선기능항진증에는 식사 중 요오드 섭취를 제한하지 않습니다. 단, 방사성 요오드 치료 시에는 치료 시작 2주 전부터 저요오드식을 시행합니다 "
갑상선암,"특별히 권장되는 식품은 없으므로 일반적인 항암식품 섭취가 권장됨 잡곡류, 콩, 생선류, 브로콜리, 파프리카, 버섯, 토마토, 키위와 같은 다양한 색깔을 지닌 채소 및 과일류, 견과류 등",치료여부 및 기간에 따라 식사조절 방법이 다르므로 치료에 맞는 식사요법을 택해 실천합니다.
결핵,"양질의 살코기, 생선살, 두부, 계란",흡연으로 인한 기관지염 등은 추가적인 세균감염의 가능성이 있으므로 금연하도록 합니다.
고마그네슘혈증,"백미 등의 도정된 곡류, 고기, 생선 등의 양질의 단백질식품",신장이 일차적으로 혈액내 마그네슘 수준을 조절하기 때문에 고마그네슘혈증은 신장기능의 이상과 밀접한 관계가 있습니다.  따라서 고칼륨혈증이 있는 경우에는 마그네슘의 함량이 낮은 식품이라 하더라도 칼륨함량이 높을 수 있으므로 주의를 요합니다.
고지혈증,"신선한 채소를 비롯한 잡곡, 저지방 어육류, 생선, 두부 그리고 제철 과일과 우유 등 균형잡힌 식사",
고칼슘혈증,"흰밥, 국수, 식빵, 감자, 쇠고기, 돼지고기, 닭고기, 계란, 전복, 홍합, 호박,무우, 배추, 콩나물, 숙주, 양파, 모든과일 (건무화과 제외), 샤베트, 두유, 식용유, 잣",수유부나 폐경기 여성에게서는 칼슘을 제한하지 않고 1200~1500mg 섭취합니다. 소변량을 최소 1일 2L이상 유지위해 1일 3L의 수분이 필요하며 50%는 물로 섭취합니다. 소변으로 배설되는 칼슘을 줄이기 위해 지나친 염분 섭취는 제한합니다. 
고혈압/폐성 고혈압,"신선한 채소를 비롯한 잡곡, 어육류, 생선, 두부, 견과류 그리고 제철 과일과 우유 등 균형잡힌 식사",
골다공증,"우유 및 유제품 (발효유, 치이즈, 아이스크림) 두류 (콩, 두부 등) 및 해조류(미역, 다시마, 김) 뼈째먹는 생선 (멸치, 뱅어포 등) , 생선류 (동태, 홍어, 참치, 참게, 대하 등) 및 통조림류 (꽁치, 정어리) 칼슘 강화 식품 (고칼슘우유, 칼슘강화 오렌지 주스나 씨리얼) 비타민 D 함유식품 (난황, 버터, 기름이 많은 생선, 생선유, 버섯) ","칼슘 보충제는 우유나 요쿠르트와 함께 복용하는 것이 좋으며, 식사와 식사 사이에 복용하도록 합니다 칼슘 보충제는 식품보다 변비를 유발하기 쉬우므로 야채, 과일, 해조류는 물론 수분을 충분히 섭취하는 것이 좋습니다. "
구루병,"우유, 요구르트, 치즈, 두부, 새우, 정어리, 연어, 녹색콩류, 시금치, 브로콜리, 콩, 두부, 멸치, 다시마, 미역, 표고버섯, 등푸른 생선 등","유당 불내증이 있거나, 유제품을 전혀 안먹거나, 완전 채식만 하는 사람들은 반드시 영양관리가 필요합니다."
구토,"토스트, 시리얼, 샌드위치, 냉 과일 샐러드, 찬 고기요리, 크래커","식후에 휴식을 취하되 눕지 마십시요. 식후에 느슨한 옷을 입고 신선한 공기를 마시면 좋습니다. 아침에 일어나기 전에 고탄수화물, 저지방 음식을 섭취합니다."
